NOTES: I need the things marked with an X,,,
name,Cart,Box,Instructions
Race America,x,x,x
Racermate Challenge II,,,
Racket Attack,,x,x
Rad Racer,,x,x
Rad Racer II,x,x,x
Rad Racket: Deluxe Tennis II,,x,x
Raid 2020,,,x
Raid on Bungeling Bay,,x,
Rainbow Islands,x,x,x
Rally Bike,x,x,x
Rambo,,x,x
Rampage,,x,x
Rampart,,x,x
Renegade,,x,x
Rescue the Embassy Mission,,x,x
Ring King,,x,x
River City Ransom,x,x,x
Road Runner,,x,x
RoadBlasters,,x,x
Robin Hood Prince of Thieves,,x,x
Robo Warrior,,x,x
Robocop,,,
Robocop 2,x,x,x
Robocop 3,,x,x
Robodemons,,,
Rock 'n Ball,x,x,x
Rocket Ranger,x,x,x
Rockin' Kats,x,x,x
Roger Clemens' MVP Baseball,,x,x
Roller Games,,,
Rollerball,x,x,x
Rollerblade Racer,x,x,x
Rolling Thunder,,,
Romance of the Three Kingdoms,,x,x
Romance of the Three Kingdoms II,x,x,x
Roundball 2-on-2 Challenge,x,x,x
Rush'n Attack,,x,x
Rygar,,x,x
SCAT Special Cybernetic Attack Team,x,x,x
Secret Scout,x,x,x
Section Z,,x,x
Seicross,,x,x
Sesame Street 123,,,
Sesame Street ABC,,x,
Sesame Street ABC and 123,,,
Sesame Street Big Bird's Hide and Speak,,x,
Sesame Street Countdown,,x,x
Shadow of the Ninja,x,x,x
Shadowgate,,x,x
Shatterhand,,,
Shingen the Ruler,,x,x
Shinobi,,,
Shockwave,,x,
Shooting Range,,x,x
Short Order/Eggsplode,,x,x
Side Pocket,,x,x
Silent Assault,x,x,x
Silent Service,,x,x
Silk Worm,x,x,x
Silver Surfer,x,x,x
Skate or Die,,x,x
Skate or Die 2,,,
Ski or Die,,x,x
Skull and Crossbones,,x,x
Sky Kid,,x,x
Sky Shark,,x,x
Slalom,,x,x
Smash TV,,x,x
Snake Rattle n Roll,x,x,x
Snake's Revenge,,,
Snoopy Silly Sports,,x,x
Snow Brothers,x,x,x
Soccer,x,x,x
Solar Jetman,,,
Solitaire,x,x,x
Solomon's Key,,x,x
Solstice,x,x,x
Space Shuttle,x,x,x
Spelunker,,x,x
Spiderman Return of the Sinister Six,,x,x
Spiritual Warfare,,x,x
Spot,,,
Spy Hunter,,x,
Spy vs. Spy,,x,x
Sqoon,x,x,x
Stack Up,,x,x
Stanley The Search for Dr Livingston,x,x,x
Star Force,,x,x
Star Soldier,,x,x
Star Trek 25th Anniversary,,,
Star Trek The Next Generation,,x,x
Star Tropics,,,
Star Tropics II: Zoda's Revenge,,x,x
Star Voyager,,x,x
Star Wars,x,x,x
