Name,Platform,Format,Region,Now Playing,Ownership Status,Progress Status,Est. Value,Amt. Paid,Tags,Box/Case,Cart/Disc,Manual,Extras
Crystalis,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.06,,,,,,
Cyber Stadium Series: Base Wars,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.10,,,,,,
Cybernoid: The Fighting Machine,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.39,,,,,,
Dance Aerobics,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.77,,,,,,
Darkman,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.50,,,,,,
Dash Galaxy in the Alien Asylum,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.51,,,,,,
Days of Thunder,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.14,,,,,,
Deadly Towers,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.74,,,,,,
Death Race,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$34.25,,,,,,
Deathbots,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$19.02,,,,,,
Defender II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.83,,,,,,
Defender of the Crown,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.01,,,,,,
Deja Vu,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.01,,,,,,
Demon Sword,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.68,,,,,,
Desert Commander,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.03,,,,,,
Destination Earthstar,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.45,,,,,,
Destiny of an Emperor,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$24.73,,,,,,
Dig Dug II: Trouble in Paradise,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.73,,,,,,
Digger T. Rock: The Legend of the Lost City,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.99,,,,,,
Disney's Darkwing Duck,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$40.00,,,,,,
Donkey Kong (1981),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Donkey Kong 3,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$13.81,,,,,,
Donkey Kong Classics,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.89,,,,,,
Donkey Kong Jr.,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Donkey Kong Jr. Math,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$72.52,,,,,,
Double Dragon,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.97,,,,,,
Double Dragon II: The Revenge,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.00,,,,,,
Double Dragon III,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.03,,,,,,
Double Dribble,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.94,,,,,,
Dr. Chaos,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.35,,,,,,
Dr. Jekyll and Mr. Hyde,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.45,,,,,,
Dr. Mario (1990),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.10,,,,,,
